id	name	age	country	hometown	height	arm_span	gender
180	Oleg Antonov	25.0	RUS	Moscow			1
181	Polina Aksenova	20.0	RUS	Krasnoyarsk			-1
182	Dmitry Golov	23.0	RUS	Zheleznogorsk			1
183	Veronika Volkova	34.0	RUS	Moscow			-1
184	Elizaveta Lapenkova	23.0	RUS	Voronezh			-1
185	Dmitrii Popov	24.0	RUS	Voronezh			1
186	Vera Malamid	70.0	RUS	Voronezh			-1
187	Timofei Karpov	20.0	RUS	Sochi			1
188	Andrei Smyk	20.0	RUS	Sochi			1
189	Ilia Danilin	20.0	RUS	Krasnoyarsk			1
190	Milena Volochko	20.0	RUS	Krasnoyarsk			-1
191	Anastasiia Evgeneva	21.0	RUS	Saint-Petersburg			-1
192	Igor BOBRENEV	20.0	RUS	Miass			1
193	Kseniia Prokofeva	22.0	RUS	Miass			0
194	Daria Kuznetsova	21.0	RUS	Perm			-1
195	Almaz Nagaev	21.0	RUS	Salavat			-1
196	Anton Kulba	19.0	RUS	Krasnoyarsk	174.0		1
197	Elena Remizova	21.0	RUS	Perm			-1
198	Sergei Rukin	22.0	RUS	Tyumen			1
199	Valeriia Slobodchikova	19.0	RUS	Chelyabinsk			0
200	Danil Ogorodnikov	20.0	RUS	Nizhnevartovsk			1
201	Daria Lezhnina	24.0	RUS	Ekaterinburg			-1
202	Polina Lukasheva	19.0	RUS	Sankt-Petersburg			-1
203	Galina Kuzmina	76.0	RUS	Moscow			-1
204	Viacheslav Volkov	19.0	RUS	Perm			1
205	Vladislav Terleev	22.0	RUS	Nizhnevartovsk			1
206	Oleg Peysakhovich	25.0	RUS	Moscow			1
207	Elizaveta Gofman	18.0	RUS	Krasnoyarsk			-1
208	Kirill Iudin	19.0	RUS	Krasnoyarsk			1
209	Serafima Subbotina	19.0	RUS	Kaliningrad			-1
210	Egor Dulub	21.0	RUS	Kaliningrad			1
211	Svetlana Sharova	29.0	RUS	Perm			-1
212	Alena Pashnina	19.0	RUS	Cherepovets			-1
213	Dmitrii Bragin	20.0	RUS	Cherepovets			1
214	Kseniia Krivosheeva	22.0	RUS	Saint-Petersburg			0
215	Vladimir Zakharov	18.0	RUS	Moscow			1
216	Alexsandr Serebrennikov	21.0	RUS	Angarsk			0
217	Aleksandr Khramtcov	21.0	RUS	Kostromskaya obl., Nerechtski			1
218	Daria Potapova	19.0	RUS	Korkino			-1
219	Iuliia Panfilova	18.0	RUS	Perm			0
220	Kamilla KUSHAEVA	19.0	RUS	Salavat			-1
221	Mikhail Babichev	19.0	RUS	Krasnoyarsk			1
222	Kseniia Petrova	22.0	RUS	Perm			0
223	Vasily  Abdurakhmanov	23.0	RUS	Miass			1
224	Demyan Zaytsev	22.0	RUS	Ekaterinburg			0
225	Evgeny Kuzin	18.0	RUS	Krasnoyarsk			1
226	Olesya Prosekova	23.0	RUS	Novosibirsk			-1
227	Anastasia Kurmacheva	20.0	RUS	Ekaterinburg			-1
228	Iana GULSTEN	20.0	RUS	Voronezh			-1
229	Svetlana Sergeeva	19.0	RUS	Moscow			-1
230	Artemii Derbyshev	19.0	RUS	Ekaterinburg			0
