id	name	age	country	hometown	height	arm_span	gender
1644	Victor Baudrand	19.0	CAN	Salt Lake City, Utah	175.0		1
1741	Sean Bailey	25.0	USA	Shoreline	163.0		1
1750	Kyra Condie	25.0	USA	Shoreview	162.0		-1
1754	John Brosler	25.0	USA	Plano	179.0		1
1778	Nathaniel Coleman	25.0	USA	Murray	182.0		1
1798	Noah Bratschi	21.0	USA	Potomac	184.0	194.0	1
1803	Natalia Grossman	20.0	USA	Boulder	162.0		-1
1811	Brooke Raboutou	20.0	USA	Boulder	158.0		-1
1812	Ashima Shiraishi	21.0	USA	New York	155.0		-1
1824	Maya Madere	23.0	USA	Austin	168.0		-1
1837	Bill Casson	33.0	USA	Denver	175.0	175.0	1
1843	Michael Finn-Henry	22.0	USA	Boston	193.0	200.0	1
1867	Gabrielle Tourtellotte	25.0	USA	Hemdon	177.0		-1
1870	Sienna Kopf	19.0	USA	Golden	174.0		-1
1871	Ross Fulkerson	21.0	USA	Portola Valley	183.0		1
1874	Megan Lynch	23.0	USA	Rockville	167.0	167.0	-1
1898	Isabel Gifford	22.0	USA	Austin	170.0		-1
1908	Merritt Ernsberger	22.0	USA	Norman	173.0		1
1925	Stefan Fellner	20.0	USA	Kings Beach	178.0		1
1926	Zach Galla	21.0	USA	Atlanta	168.0		1
1929	Colin Duffy	18.0	USA	Broomfield	170.0		1
1934	Zander Waller	18.0	USA	Decatur	182.0	193.0	1
1936	Darren Skolnik	19.0	USA	Haworth	170.0		1
1946	Timothy Kang	23.0	USA	Mountain View	180.0	182.0	1
1971	Jared Lenahan	33.0	USA	Silver Spring	175.0		1
1985	Steven Hinson	30.0	USA	Lakewood, Colorado	175.0		1
1999	Emma Hunt	19.0	USA	Woodstock	173.0		-1
2000	Callie Close	17.0	USA	Suwanee	182.0		-1
2004	Ellis Ernsberger	18.0	USA	Carrollton	170.0		1
2014	Christoph Hanke	28.0	GER	Betzenstein	167.0	167.0	1
2021	Anna Lechner	18.0	GER	München	171.0		-1
2203	Gergő Vályi	17.0	HUN	Szügy	176.0	180.0	1
2253	Akiyo Noguchi	32.0	JPN	Ryugasaki-shi	167.0		-1
2257	Rei Sugimoto	30.0	JPN	Tokyo	172.0		-1
2261	Masahiro Higuchi	29.0	JPN	Setagaya-ku, Tokyo	169.0		1
2265	Keita Watabe	28.0	JPN	Yokkaichi	173.0	180.0	1
2272	Kokoro Fujii	29.0	JPN	Tokyo	176.0		-1
2291	Tomoaki Takata	27.0	JPN	Hokuei-cho	175.0		1
2294	Miho Nonaka	24.0	JPN	Tokyo	163.0		1
2303	Shinji Mizumura	58.0	JPN	Toshima-ku Tokyo	177.0		1
2305	Yukari Nakamura	23.0	JPN	Hamamatsu	157.0		-1
2309	Yoshiyuki Ogata	24.0	JPN	Tokyo	172.0	181.0	1
2332	Kai Harada	23.0	JPN	Tokyo	169.0		1
2343	Nanako Kura	21.0	JPN	kariyash	160.0		-1
2381	Natsuki Tanii	18.0	JPN	Nara	152.0		-1
2383	Hajime Takeda	19.0	JPN	Kanagawa	172.0	180.0	1
2385	Rei Kawamata	18.0	JPN	Tochigi	172.0		-1
2436	Dimitar Rusev	18.0	BUL	Sofia	173.0	178.0	1
2486	Emma Horan	28.0	AUS	Spence, Canberra	181.0	187.0	-1
2488	Lucinda Ann Stirling	28.0	AUS	Brookfield	160.0	160.0	-1
2493	Campbell Harrison	24.0	AUS	Brunswick East	182.0	181.0	1
2530	Joshua Damasco	21.0	AUS	Lockridge	173.0	181.0	1
2573	Emil Zimmermann	17.0	GER	Freiburg	178.0		1
2574	Alexander Megos	28.0	GER	Erlangen	175.0		1
2597	Michael O'Neill	22.0	IRL	Dublin	174.0	180.0	1
2667	Hannes Puman	24.0	SWE	Skogstorp	177.0		1
2767	Peter Kuric	20.0	SVK	Handlova	175.0		1
2798	Anthony Gullsten	30.0	FIN	Helsinki	180.0		1
2808	Tomi Salo	26.0	FIN	Helsinki	176.0		1
2845	Marcin Dzienski	29.0	POL	Tarnów	166.0		1
2848	Aleksandra Miroslaw	28.0	POL	Lublin	162.0		-1
2857	Patrycja Chudziak	24.0	POL	Lublin	168.0		-1
2879	Natalia Kalucka	20.0	POL	Tarnów	165.0		-1
2894	Jakub Zietek	20.0	POL	Bielsko-Biała	175.0		1
3043	Pia Culjak	19.0	CRO	Zagreb	171.0	182.0	-1
3060	Tina Johnsen Hafsaas	27.0	NOR	OSLO	164.0	166.0	-1
3090	Oda Aagaard Lauridsen	20.0	NOR	Lillehammer	178.0		-1
3113	Hannah Meul	21.0	GER	Frechen	167.0		-1
3120	Franziska Ritter	18.0	GER	Wuppertal	164.0		-1
3125	Sebastian Halenke	27.0	GER	Lahr	177.0		1
3127	Max Kleesattel	23.0	GER	Schwäbisch Gmünd	173.0	180.0	1
3131	Yannick Flohé	22.0	GER	Essen	178.0		1
3154	Clara Viegas	20.0	BRA	Belo Horizonte, MG	170.0		-1
3199	Dylan Chuat	21.0	SUI	Vernayaz	170.0		1
3211	Carlos Granja	23.0	ECU	Ibarra	175.0	172.0	1
3214	Aaron Peñaranda	21.0	ECU	Cuenca	171.0		1
3222	Galo  Hernandez	21.0	ECU	Atuntaqui	164.0	166.0	1
3230	Steve Cabrera	28.0	ECU	Riobamba	173.0	175.0	1
3242	Paolo  Rivadeneira	18.0	ECU	Quito	180.0		1
3246	Petra Klingler	30.0	SUI	Bonstetten	162.0		-1
3254	Andrea Kümin	24.0	SUI	Ostermundigen	164.0		-1
3354	Afra Hönig	26.0	GER	Landshut	165.0	165.0	-1
3362	Amir Maimuratov	26.0	KAZ	Astana	182.0		1
3422	Jan Hojer	30.0	GER	Frechen	188.0		1
3431	Georg Hoffmann	57.0	GER	Stuttgart	163.0	181.0	1
3471	Reza Alipour Shenazandifard	27.0	IRI	Qazvin	171.0		1
3511	Hossein Familrohani	29.0	IRI	Tehran	173.0	183.0	1
3558	Mahdi Zendehkar	44.0	IRI	Karaj	178.0		1
3594	Lynn van der Meer	22.0	NED	Roosendaal	168.0		-1
3597	Jens de Louw	19.0	NED	Utrecht	179.0	186.0	1
3607	Paul Brand	19.0	NED	Amsterdam	180.0	188.0	1
3805	Mariana Carvalho	18.0	POR	Mosteiró - Vila do Conde	154.0		-1
3827	Brandon Grageda	28.0	PHI	Marikina City	180.0		1
3834	John Joseph Veloria	29.0	PHI	QUEZON CITY	157.0		1
3842	Slobodan Gejo	70.0	SRB	Niska Banja	188.0		1
3875	Frederik Viberg	20.0	DEN	Nykøbing Sj.	187.0		1
3880	Zoé Egli	20.0	SUI	Hünibach	164.0		-1
3882	Joëlle Niederberger	19.0	SUI	Oberhofen am Thunersee	168.0		-1
3911	Alejandra Contreras	21.0	CHI	Santiago	160.0	169.0	-1
3916	Benjamin Vargas	22.0	CHI	San Felipe	180.0	188.0	1
3991	Ram Levin	23.0	ISR	Hertzlyia	171.0	184.0	1
