id	name	age	country	hometown	height	arm_span
210	Egor Dulub	21	RUS	Kaliningrad		
211	Svetlana Sharova	29	RUS	Perm		
212	Alena Pashnina	19	RUS	Cherepovets		
213	Dmitrii Bragin	20	RUS	Cherepovets		
214	Kseniia Krivosheeva	22	RUS	Saint-Petersburg		
215	Vladimir Zakharov	18	RUS	Moscow		
216	Alexsandr Serebrennikov	21	RUS	Angarsk		
217	Aleksandr Khramtcov	21	RUS	Kostromskaya obl., Nerechtski		
218	Daria Potapova	19	RUS	Korkino		
219	Iuliia Panfilova	18	RUS	Perm		
220	Kamilla KUSHAEVA	19	RUS	Salavat		
221	Mikhail Babichev	19	RUS	Krasnoyarsk		
222	Kseniia Petrova	22	RUS	Perm		
223	Vasily  Abdurakhmanov	23	RUS	Miass		
224	Demyan Zaytsev	22	RUS	Ekaterinburg		
225	Evgeny Kuzin	18	RUS	Krasnoyarsk		
226	Olesya Prosekova	23	RUS	Novosibirsk		
227	Anastasia Kurmacheva	20	RUS	Ekaterinburg		
228	Iana GULSTEN	20	RUS	Voronezh		
229	Svetlana Sergeeva	19	RUS	Moscow		
230	Artemii Derbyshev	19	RUS	Ekaterinburg		
231	Sergei Tiupyshev	21	RUS	Gatchina		
232	Ivan ZEMLIAKOV	19	RUS	Tyumen		
233	Pavel Danilov	23	RUS	Kemerovo		
234	Denis Karpikov	23	RUS	Saint-Petersburg		
235	Svetlana Tiuliush	57	RUS	Kizil		
236	Dmitrii Kostin	19	RUS	Tyumen		
237	Iuliia OVCHINNIKOVA	19	RUS	Krasnoyarsk		
238	Konstantin Mitin	31	RUS	Saint-Petersburg		
239	Nikolai Morozov	27	RUS	Ekaterinburg		
240	Eduard Daukaev	20	RUS	Ufa		
241	Tagir Izmailov	26	RUS	Ufa		
242	Igor Gusak	49	RUS	Moscow		
243	Artem Koskov	19	RUS	Perm		
244	Anastasiia Volkova	19	RUS	Krasnoyarsk		
245	Aleksey Zverev	18	RUS	Nizhnij Tagil		
246	Danil Pudrikov	21	RUS	Krasnoyarsk		
247	Sofiia Kuzakova	18	RUS	Krasnoyarsk		
248	Marina SIUTKINA	18	RUS	Krasnoyarsk		
249	Alisa Leshkina	18	RUS	Tyumen		
250	Sofia Pomykalova	18	RUS	Miass		
251	Maksim RYZHOV	18	RUS	Ekaterinburg		
252	Sergei Ekimov	19	RUS	Ishim		
253	Varvara But	22	RUS	Irkutsk		
254	Danila UKOLOV	19	RUS	Tyumen		
255	Kirill Beliankin	17	RUS	Angarsk		
256	Alexandra Ivshina	17	RUS	Ivanteevka		
257	Sofia Ivanova	25	RUS	Moscow		
258	Dmitry Zadoya	24	RUS	Moscow		
259	Anastasia Chelmakina	24	RUS	Yekaterinburg		
260	Alexandr Mezyaev	18	RUS	Chelyabinsk		
261	Vladislav Litvinov	21	RUS	Kaliningrad		
262	Leonid Litvinov	19	RUS	Kaliningrad		
263	Varvara Panasina	20	RUS	Kaliningrad		
264	Ekaterina Cherednichenko	17	RUS	Kaliningrad		
265	Dmitrii Tunoshenskii	18	RUS	Perm		
266	Egor Babichev	19	RUS	Kaliningrad		
267	Elena Matiak-Iabluchkina	18	RUS	Sevastopol		
268	Kirill Polevoi	17	RUS	Vologda		
269	Lev SHCHERBAKOV	17	RUS	Saint-Petersburg		
270	Daniil Lisichenko	23	RUS	Moscow		
271	Maxim Semenov	36	RUS	Moscow		
272	Ilgam Makhmutov	36	RUS	Chelyabinsk		
273	Daria GARKINA	19	RUS	Miass		
274	Maksim Maiorov	27	RUS	Moscow		
275	Timur Abdurashitov	39	RUS	Ufa		
